,key,variable,month,coef,sd,mean,chance
0,26164,evap,1,1.361436300294555,3.7254819039817186,0.017993686995884297,12.43
1,26164,evap,2,0.597020759413001,3.1568140448828292,-0.010638786516697044,25.6
2,26164,evap,3,1.333237142547537,1.995954306348016,-0.000309157194111701,17.150000000000002
3,26164,evap,4,-1.7418743225522553,2.3887521577453397,0.002416470449480953,3.5999999999999996
4,26164,evap,5,0.1612743654996889,2.0505895104375855,-0.01660240563937671,4.34
5,26164,evap,6,-0.9977586964093716,2.2483402690295833,-0.03149236980729583,41.21
6,26164,evap,7,1.2952769543243638,3.0219904715121673,-0.021389167958811475,13.63
7,26164,evap,8,-0.3573083995636594,2.5883692625998496,0.009710847332576749,23.36
8,26164,evap,9,-0.0164245354344781,2.2737825669508958,0.02527465639403137,21.790000000000003
9,26164,evap,10,1.163865090057019,2.6693085183924175,0.08684282663384246,24.65
10,26164,evap,11,1.1809783138779022,3.0704996673295044,-0.012289185344407611,22.470000000000002
11,26164,evap,12,0.3224797048603479,3.093156965096634,0.05753332307700912,8.66
12,26164,tmax,1,-3.748900168739984,,,
13,26164,tmax,2,-1.6439998891642096,,,
14,26164,tmax,3,0.4919161355541845,,,
15,26164,tmax,4,-1.8241227601129095,,,
16,26164,tmax,5,-1.3454756393922491,,,
17,26164,tmax,6,2.4728823869878345,,,
18,26164,tmax,7,-1.1128274885260117,,,
19,26164,tmax,8,-1.0423996980590595,,,
20,26164,tmax,9,-0.7433324041195402,,,
21,26164,tmax,10,0.8492064030279198,,,
22,26164,tmax,11,-1.510134484391659,,,
23,26164,tmax,12,-5.580638882345888,,,
24,26164,tmin,1,-4.241691870142372,,,
25,26164,tmin,2,-2.046363329285648,,,
26,26164,tmin,3,-1.847247072571308,,,
27,26164,tmin,4,-4.269804925707533,,,
28,26164,tmin,5,-3.5998942535433165,,,
29,26164,tmin,6,0.4598843338223655,,,
30,26164,tmin,7,3.2807849827298297,,,
31,26164,tmin,8,1.8726827439882647,,,
32,26164,tmin,9,1.7089248021431394,,,
33,26164,tmin,10,-1.6924462327131604,,,
34,26164,tmin,11,-2.293219125779185,,,
35,26164,tmin,12,-4.130671930129638,,,
