,key,variable,month,coef,sd,mean,chance
0,26164,evap,1,1.361436300294555,3.565308725345647,-0.008281019152496892,13.919999999999998
1,26164,evap,2,0.597020759413001,2.8258568713384546,-0.02020278505136553,27.73
2,26164,evap,3,1.333237142547537,2.58484920074676,-0.023008512190361294,41.68
3,26164,evap,4,-1.7418743225522553,2.6429385667328993,0.0059636822484052145,24.099999999999998
4,26164,evap,5,0.1612743654996889,2.1912425193994305,-0.011350627560708584,26.71
5,26164,evap,6,-0.9977586964093716,1.876823438306371,0.005415357658328999,9.15
6,26164,evap,7,1.2952769543243638,1.9637786575334157,-0.009928586623697016,27.55
7,26164,evap,8,-0.3573083995636594,1.720903816048908,-0.013846364821919067,26.86
8,26164,evap,9,-0.0164245354344781,2.1065009731540356,0.01852128583668457,35.89
9,26164,evap,10,1.163865090057019,2.485706886341706,-0.017864099485834176,36.230000000000004
10,26164,evap,11,1.1809783138779022,2.366275966150842,-0.01869971831888518,25.96
11,26164,evap,12,0.3224797048603479,3.2295155825906074,-0.02121175104956372,3.8699999999999997
12,26164,tmax,1,-3.748900168739984,,,
13,26164,tmax,2,-1.6439998891642096,,,
14,26164,tmax,3,0.4919161355541845,,,
15,26164,tmax,4,-1.8241227601129095,,,
16,26164,tmax,5,-1.3454756393922491,,,
17,26164,tmax,6,2.4728823869878345,,,
18,26164,tmax,7,-1.1128274885260117,,,
19,26164,tmax,8,-1.0423996980590595,,,
20,26164,tmax,9,-0.7433324041195402,,,
21,26164,tmax,10,0.8492064030279198,,,
22,26164,tmax,11,-1.510134484391659,,,
23,26164,tmax,12,-5.580638882345888,,,
24,26164,tmin,1,-4.241691870142372,,,
25,26164,tmin,2,-2.046363329285648,,,
26,26164,tmin,3,-1.847247072571308,,,
27,26164,tmin,4,-4.269804925707533,,,
28,26164,tmin,5,-3.5998942535433165,,,
29,26164,tmin,6,0.4598843338223655,,,
30,26164,tmin,7,3.2807849827298297,,,
31,26164,tmin,8,1.8726827439882647,,,
32,26164,tmin,9,1.7089248021431394,,,
33,26164,tmin,10,-1.6924462327131604,,,
34,26164,tmin,11,-2.293219125779185,,,
35,26164,tmin,12,-4.130671930129638,,,
