,key,variable,month,coef,sd,mean,chance
0,26164,tmax,1,-3.748900168739984,3.5803115518416844,-0.03639997556102673,14.48
1,26164,tmax,2,-1.6439998891642096,2.8371026579255973,-0.0630015053552964,28.24
2,26164,tmax,3,0.4919161355541845,2.5214433039224597,-0.00848673623805218,41.65
3,26164,tmax,4,-1.8241227601129095,2.610740968970819,0.004662431625902036,23.41
4,26164,tmax,5,-1.3454756393922491,2.2191114135978993,0.030546903612970317,26.25
5,26164,tmax,6,2.4728823869878345,1.8768235406242908,-0.021508265558062283,8.99
6,26164,tmax,7,-1.1128274885260117,1.9471397260956504,-0.035891196229381576,27.18
7,26164,tmax,8,-1.0423996980590595,1.7397299739128753,-0.003967643758943453,26.340000000000003
8,26164,tmax,9,-0.7433324041195402,2.074614473138593,0.02694028422864472,35.25
9,26164,tmax,10,0.8492064030279198,2.443522090499622,-0.01357591233541846,36.38
10,26164,tmax,11,-1.4723811222818677,2.3916805593287913,-0.007667093769413418,26.540000000000003
11,26164,tmax,12,-5.580638882345888,3.2272518418104332,-0.013952900237199162,4.18
12,26164,tmin,1,-4.241691870142372,3.7494904771225026,-0.04399959472249576,12.86
13,26164,tmin,2,-2.046363329285648,3.1438375817775728,0.0035261489986453966,25.480000000000004
14,26164,tmin,3,-1.847247072571308,2.0328927795202176,0.020871251251570917,17.8
15,26164,tmin,4,-4.269804925707533,2.364073810849222,-0.03558318352971247,3.8699999999999997
16,26164,tmin,5,-3.5998942535433165,2.07531374033823,0.016853487040985316,3.94
17,26164,tmin,6,0.4598843338223655,2.2125805796287996,-0.033448228832248336,41.39
18,26164,tmin,7,3.2807849827298297,3.0600038666714173,-0.03166396331039729,13.420000000000002
19,26164,tmin,8,1.8726827439882647,2.604218486534479,0.062428856309960305,23.87
20,26164,tmin,9,1.7089248021431394,2.2753425012953925,0.031061638750585138,22.03
21,26164,tmin,10,-1.6924462327131604,2.6761940732927463,-0.017801661811356843,26.419999999999998
22,26164,tmin,11,-2.235888647634705,3.0426913059638814,0.0017892161866372661,23.14
23,26164,tmin,12,-4.130671930129638,3.0760994156438826,-0.002501837781347752,8.870000000000001
24,26164,evap,1,1.2252926702650997,,,
25,26164,evap,2,0.5373186834717009,,,
26,26164,evap,3,1.199913428292783,,,
27,26164,evap,4,-1.5676868902970298,,,
28,26164,evap,5,0.1330513515372433,,,
29,26164,evap,6,-0.848094891947966,,,
30,26164,evap,7,1.1009854111757094,,,
31,26164,evap,8,-0.3037121396291105,,,
32,26164,evap,9,-0.0143714685051683,,,
33,26164,evap,10,1.0474785810513174,,,
34,26164,evap,11,1.062880482490112,,,
35,26164,evap,12,0.2902317343743131,,,
