key,variable,month,coef

26013,precip,1,2.0932360783988218
26013,precip,2,0.7788447424508416
26013,precip,3,0.7280395512205978
26013,precip,4,0.36151669496321437
26013,precip,5,-0.04739215364112677
26013,precip,6,0.0718099494296131
26013,precip,7,-3.9026301912418
26013,precip,8,-4.666468933168307
26013,precip,9,-0.6926834888812072
26013,precip,10,0.575828194864133
26013,precip,11,0.600335840636717
26013,precip,12,0.569081861079349
26013,evap,1,-1.283579260488008
26013,evap,2,-1.2082337831905265
26013,evap,3,-1.7767320345646411
26013,evap,4,-1.3977517868745937
26013,evap,5,-4.30265987549519
26013,evap,6,-3.13207961316079
26013,evap,7,-2.8076012141220588
26013,evap,8,-2.3744025946134744
26013,evap,9,0.4063782137418259
26013,evap,10,-2.607450390077644
26013,evap,11,-0.43556128411356265
26013,evap,12,-0.22140035292337318
26013,tmax,1,1.8466678425798178
26013,tmax,2,3.7829212392379876
26013,tmax,3,-0.009569820975155722
26013,tmax,4,-0.3952152230590234
26013,tmax,5,-2.706939043759241
26013,tmax,6,4.000768356266416
26013,tmax,7,2.0287109293494145
26013,tmax,8,5.169635809193071
26013,tmax,9,3.299199856614306
26013,tmax,10,-1.324401874751438
26013,tmax,11,-1.6842076373999848
26013,tmax,12,-0.5842097069449597
26013,tmin,1,3.88132269477791
26013,tmin,2,3.0354073112664444
26013,tmin,3,1.9793652022792578
26013,tmin,4,2.7861720723722923
26013,tmin,5,-2.524244696207129
26013,tmin,6,-0.34974322788035644
26013,tmin,7,-3.9527301559601327
26013,tmin,8,-0.9599981851786772
26013,tmin,9,-4.4097604690760575
26013,tmin,10,-4.71035015926467
26013,tmin,11,-2.159026014561555
26013,tmin,12,-1.8466314864620639
26057,precip,1,-0.38456755490762373
26057,precip,2,-0.20151803484507844
26057,precip,3,-0.028170417498257074
26057,precip,4,-0.10632477888306015
26057,precip,5,-0.16531144764144212
26057,precip,6,-0.05609795886083782
26057,precip,7,1.1424855432797447
26057,precip,8,0.29624888261066284
26057,precip,9,0.5189820784757495
26057,precip,10,-1.1720197113200295
26057,precip,11,-0.6388226796677501
26057,precip,12,-1.223530079732434
26057,evap,1,1.4525064792883733
26057,evap,2,-4.666161424782112
26057,evap,3,-4.862999553041628
26057,evap,4,-9.508937544093138
26057,evap,5,-6.747882941431325
26057,evap,6,-13.724011620563342
26057,evap,7,-4.93512938674229
26057,evap,8,-7.369018078695497
26057,evap,9,-2.6549450549450535
26057,evap,10,-6.937256292095
26057,evap,11,-2.874408148928697
26057,evap,12,-2.0409213374889084
26057,tmax,1,3.9546167894037
26057,tmax,2,3.738584350674565
26057,tmax,3,5.4231961135891025
26057,tmax,4,3.1868789031206504
26057,tmax,5,4.351523666968469
26057,tmax,6,3.3000415012091415
26057,tmax,7,0.9480782763848418
26057,tmax,8,1.2759962274049654
26057,tmax,9,1.5844746251756963
26057,tmax,10,3.152553035333589
26057,tmax,11,3.7189083217252232
26057,tmax,12,1.4365065412099
26057,tmin,1,-0.31102349256351697
26057,tmin,2,0.10316047573079551
26057,tmin,3,0.4220481523432952
26057,tmin,4,-0.9666600320745179
26057,tmin,5,-1.046172465306796
26057,tmin,6,0.29998904957009476
26057,tmin,7,-0.05122023601174804
26057,tmin,8,0.034332991785013284
26057,tmin,9,0.1991167108986001
26057,tmin,10,-0.1201901233704964
26057,tmin,11,0.055362946912243055
26057,tmin,12,-0.254878979229164
26164,precip,1,-1.7959827939028497
26164,precip,2,-0.7752905832595641
26164,precip,3,-1.7331343745683556
26164,precip,4,0.10449524741461545
26164,precip,5,-0.36217748290054425
26164,precip,6,-0.5734069837883395
26164,precip,7,-2.3114325407169494
26164,precip,8,-1.198826708768643
26164,precip,9,-0.7675171195711693
26164,precip,10,-1.6126978968819499
26164,precip,11,-0.407146075043665
26164,precip,12,-1.598553121320879
26164,evap,1,1.2491670216785549
26164,evap,2,0.4037279035516575
26164,evap,3,2.0266357696071244
26164,evap,4,-0.4190317868842376
26164,evap,5,-0.5548646547958712
26164,evap,6,-1.733486232597918
26164,evap,7,-0.8017511470484572
26164,evap,8,-0.89265882384547
26164,evap,9,-1.7126834461972753
26164,evap,10,0.39376011847524645
26164,evap,11,1.2747009030627512
26164,evap,12,0.26091880337173295
26164,tmax,1,-3.864272334795609
26164,tmax,2,-1.5575380252727646
26164,tmax,3,0.5780905442749791
26164,tmax,4,-1.7165716501570392
26164,tmax,5,-0.9141216208167651
26164,tmax,6,2.5297624016204914
26164,tmax,7,-1.3378310290750284
26164,tmax,8,-1.7149078818421106
26164,tmax,9,-0.23398479540808909
26164,tmax,10,0.9440744280838258
26164,tmax,11,-1.8965563872491908
26164,tmax,12,-5.5806388823458875
26164,tmin,1,-4.5858118652802355
26164,tmin,2,-1.6567791694716183
26164,tmin,3,-0.9401835111667516
26164,tmin,4,-3.897491974683109
26164,tmin,5,-3.7814029661878883
26164,tmin,6,0.04381783576962305
26164,tmin,7,2.869767334323425
26164,tmin,8,2.333520012233136
26164,tmin,9,2.473238732667011
26164,tmin,10,-1.9155906295931946
26164,tmin,11,-2.6646441822253424
26164,tmin,12,-4.130671930129638
